,page,country,rev_id,prediction,Geography,population
0,Bir I of Kanem,CHAD,355319463,Stub,CHAD,15.4
1,Abdullah II of Kanem,CHAD,498683267,Stub,CHAD,15.4
2,Salmama II of Kanem,CHAD,565745353,Stub,CHAD,15.4
3,Kuri I of Kanem,CHAD,565745365,Stub,CHAD,15.4
4,Mohammed I of Kanem,CHAD,565745375,Stub,CHAD,15.4
5,Kuri II of Kanem,CHAD,669719757,Stub,CHAD,15.4
6,Bir II of Kanem,CHAD,670893206,Stub,CHAD,15.4
7,Mahamat Hissene,CHAD,693055898,Stub,CHAD,15.4
8,Othman I,CHAD,705432607,Stub,CHAD,15.4
9,Alphonse Kotiga,CHAD,707593108,Stub,CHAD,15.4
10,Oueddei Kichidemi,CHAD,708346649,Start,CHAD,15.4
11,Dunama I,CHAD,710675092,Stub,CHAD,15.4
12,Ahmad (Kanem-Bornu king),CHAD,711388267,Stub,CHAD,15.4
13,Djibrine Kerallah,CHAD,712971263,Stub,CHAD,15.4
14,Maurice Ngangtar,CHAD,712971315,Stub,CHAD,15.4
15,Idriss Miskine,CHAD,712971738,Stub,CHAD,15.4
16,Laoukein Kourayo Médard,CHAD,716886170,Stub,CHAD,15.4
17,Nadji Madou,CHAD,716886788,Stub,CHAD,15.4
18,Noël Milarew Odingar,CHAD,716891799,Start,CHAD,15.4
19,Yaya Dillo Djérou,CHAD,717733209,Stub,CHAD,15.4
20,Acheikh Ibn-Oumar,CHAD,719821590,Start,CHAD,15.4
21,Quatre Sou Quatre,CHAD,720066754,Stub,CHAD,15.4
22,Ali Gazi,CHAD,722563340,Stub,CHAD,15.4
23,Mahamat Djarma Khatir,CHAD,725132042,Stub,CHAD,15.4
24,Dunama IX Lefiami,CHAD,731749611,Stub,CHAD,15.4
25,Dawud of Kanem,CHAD,736550266,Stub,CHAD,15.4
26,Ahmed Koulamallah,CHAD,738855197,Start,CHAD,15.4
27,Abbo Nassour,CHAD,741369486,B,CHAD,15.4
28,Abdel Kader Baba-Laddé,CHAD,742213176,Stub,CHAD,15.4
29,Hummay,CHAD,747271475,Stub,CHAD,15.4
30,Ngarlejy Yorongar,CHAD,751304544,C,CHAD,15.4
31,Saleh Kezabo,CHAD,751380073,Stub,CHAD,15.4
32,Bourkou Louise Kabo,CHAD,757072468,Start,CHAD,15.4
33,Brahim Koulamallah,CHAD,757802238,Stub,CHAD,15.4
34,Saadie Goukouni Weddeye,CHAD,757842614,Start,CHAD,15.4
35,Mahamoud Adam Béchir,CHAD,762579466,Start,CHAD,15.4
36,Kalthouma Nguembang,CHAD,762816132,Stub,CHAD,15.4
37,Djidingar Dono Ngardoum,CHAD,764133533,Stub,CHAD,15.4
38,Template:ChadPMs,CHAD,768123377,Stub,CHAD,15.4
39,Template:ChadPres,CHAD,770535091,Stub,CHAD,15.4
40,Youssouf Saleh Abbas,CHAD,771052289,B,CHAD,15.4
41,Koibla Djimasta,CHAD,774223245,Start,CHAD,15.4
42,Nassour Guelendouksia Ouaido,CHAD,774223248,C,CHAD,15.4
43,Joseph Brahim Seid,CHAD,777478442,Stub,CHAD,15.4
44,Joseph Yodoyman,CHAD,777550078,Start,CHAD,15.4
45,Antoine Bangui,CHAD,782638002,Start,CHAD,15.4
46,Ibrahim IV of Bornu,CHAD,785614014,Stub,CHAD,15.4
47,Hadjé Halimé,CHAD,786449636,C,CHAD,15.4
48,Youssouf Togoïmi,CHAD,787390241,Start,CHAD,15.4
49,Adoum Younousmi,CHAD,787719236,Start,CHAD,15.4
50,François Tombalbaye,CHAD,787738541,C,CHAD,15.4
51,Ahmat Hassaballah Soubiane,CHAD,787910771,Stub,CHAD,15.4
52,Ahmad Allam-Mi,CHAD,787921293,Start,CHAD,15.4
53,Laotegguelnodji Koumtog,CHAD,788009613,Stub,CHAD,15.4
54,Mahamat Ali Adoum,CHAD,788014671,Start,CHAD,15.4
55,Mahamat Saleh Annadif,CHAD,788658822,C,CHAD,15.4
56,Mohamed Bechir-Sow,CHAD,788827248,Stub,CHAD,15.4
57,Gontchomé Sahoulba,CHAD,788828388,Start,CHAD,15.4
58,Gabriel Lisette,CHAD,788828519,Start,CHAD,15.4
59,Ali II of Bornu,CHAD,788999424,Stub,CHAD,15.4
60,Arabi El Goni,CHAD,789126126,Stub,CHAD,15.4
61,Dunama Dabbalemi,CHAD,789935196,Start,CHAD,15.4
62,Idris Alooma,CHAD,792734868,Start,CHAD,15.4
63,Mahamat Nouri,CHAD,792954115,FA,CHAD,15.4
64,Idriss Ndele Moussa,CHAD,796654025,Stub,CHAD,15.4
65,Mbaydoum Simeon,CHAD,796690873,Stub,CHAD,15.4
66,Ngarindo Milengar,CHAD,796700718,Stub,CHAD,15.4
67,List of Prime Ministers of Chad,CHAD,797747674,Start,CHAD,15.4
68,Idriss Déby,CHAD,798286150,C,CHAD,15.4
69,Saleh Kebzabo,CHAD,798626040,C,CHAD,15.4
70,Moussa Faki,CHAD,799043301,C,CHAD,15.4
71,Template:Chad-politician-stub,CHAD,799373925,Stub,CHAD,15.4
72,Kalzeubet Pahimi Deubet,CHAD,799413193,Start,CHAD,15.4
73,Haroun Kabadi,CHAD,799447895,Start,CHAD,15.4
74,Nagoum Yamassoum,CHAD,799447995,Start,CHAD,15.4
75,Outel Bono,CHAD,799448338,Start,CHAD,15.4
76,Ahmat Acyl,CHAD,799902492,C,CHAD,15.4
77,Djimrangar Dadnadji,CHAD,800133552,Start,CHAD,15.4
78,Delwa Kassiré Koumakoye,CHAD,801029539,C,CHAD,15.4
79,Fidèle Moungar,CHAD,801192255,C,CHAD,15.4
80,Jean Alingué Bawoyeu,CHAD,801192303,B,CHAD,15.4
81,Emmanuel Nadingar,CHAD,801573576,C,CHAD,15.4
82,Roger Djikisna,CHAD,801583221,Stub,CHAD,15.4
83,Firmin Djidingar,CHAD,801583260,Stub,CHAD,15.4
84,Idris I of Kanem,CHAD,802874918,Stub,CHAD,15.4
85,Vice President of Chad,CHAD,803166509,Stub,CHAD,15.4
86,Hissène Habré,CHAD,803166806,GA,CHAD,15.4
87,Negue Djogo,CHAD,803166989,Start,CHAD,15.4
88,Wadel Abdelkader Kamougué,CHAD,803167152,C,CHAD,15.4
89,Félix Malloum,CHAD,803167336,Start,CHAD,15.4
90,Lol Mahamat Choua,CHAD,803167424,C,CHAD,15.4
91,Goukouni Oueddei,CHAD,803167990,C,CHAD,15.4
92,Albert Pahimi Padacké,CHAD,803433107,C,CHAD,15.4
93,List of heads of state of Chad,CHAD,803812011,Start,CHAD,15.4
94,Elise Loum,CHAD,804773540,Start,CHAD,15.4
95,Agnes Allafi,CHAD,805493169,Start,CHAD,15.4
96,Christine Georges Diguibaye,CHAD,806337653,Stub,CHAD,15.4
97,Pascal Yoadimnadji,CHAD,806508985,Start,CHAD,15.4
98,Aissa Koli,CHAD,806616268,Start,CHAD,15.4
99,Omar I of Kanem,CHAD,807425129,Start,CHAD,15.4
100,Template:Zimbabwe-politician-stub,ZIMBABWE,391862046,Stub,ZIMBABWE,14
101,Template:Zimbabwe-mayor-stub,ZIMBABWE,444767985,Stub,ZIMBABWE,14
102,Jabulani Dube,ZIMBABWE,645408814,Stub,ZIMBABWE,14
103,Fletcher Dulini,ZIMBABWE,669981316,Stub,ZIMBABWE,14
104,Leopold Takawira,ZIMBABWE,710060929,Start,ZIMBABWE,14
105,Tinos Rusere,ZIMBABWE,710524880,Start,ZIMBABWE,14
106,Gift Tandare,ZIMBABWE,710615823,Stub,ZIMBABWE,14
107,Engelbert Rugeje,ZIMBABWE,711448400,Start,ZIMBABWE,14
108,Max Mnkandla,ZIMBABWE,711509855,Stub,ZIMBABWE,14
109,Lovemore Matombo,ZIMBABWE,711958194,Stub,ZIMBABWE,14
110,Alfred Nikita Mangena,ZIMBABWE,712004487,Stub,ZIMBABWE,14
111,Simbi Mubako,ZIMBABWE,713121927,Stub,ZIMBABWE,14
112,Nicholas Kiti kiti,ZIMBABWE,713308132,Stub,ZIMBABWE,14
113,Aleck Gumbo,ZIMBABWE,713580662,Stub,ZIMBABWE,14
114,Jabulani Sibanda,ZIMBABWE,713618917,Start,ZIMBABWE,14
115,Cain Mathema,ZIMBABWE,713726531,Stub,ZIMBABWE,14
116,Patrick Kombayi,ZIMBABWE,713740128,Stub,ZIMBABWE,14
117,Langton Towungana,ZIMBABWE,713899377,Stub,ZIMBABWE,14
118,Eric Matinenga,ZIMBABWE,714455111,Stub,ZIMBABWE,14
119,Emmanuel Chiroto,ZIMBABWE,714535045,Stub,ZIMBABWE,14
120,Muchadeyi Masunda,ZIMBABWE,714706533,C,ZIMBABWE,14
121,David Butau,ZIMBABWE,714967769,Stub,ZIMBABWE,14
122,Thompson Samkange,ZIMBABWE,715131189,Stub,ZIMBABWE,14
123,Nomalanga Khumalo,ZIMBABWE,715183334,Stub,ZIMBABWE,14
124,Henry Dzinotyiweyi,ZIMBABWE,715867004,Stub,ZIMBABWE,14
125,Edward Raradza,ZIMBABWE,716017725,Stub,ZIMBABWE,14
126,Rekayi Tangwena,ZIMBABWE,716669163,Stub,ZIMBABWE,14
127,Sibonile Nyamudeza,ZIMBABWE,717380254,Stub,ZIMBABWE,14
128,Misheck Kagurabadza,ZIMBABWE,720008799,Stub,ZIMBABWE,14
129,Morgan Femai,ZIMBABWE,721674926,Stub,ZIMBABWE,14
130,Bybit Lydia Tsomondo,ZIMBABWE,723082034,Stub,ZIMBABWE,14
131,Kisinoti Mukwazhe,ZIMBABWE,723353282,Stub,ZIMBABWE,14
132,David Karimanzira,ZIMBABWE,725242133,Stub,ZIMBABWE,14
133,Sobusa Gula-Ndebele,ZIMBABWE,726651867,Stub,ZIMBABWE,14
134,Sylvester Nguni,ZIMBABWE,726686195,Stub,ZIMBABWE,14
135,Thamsanqa Mahlangu,ZIMBABWE,726687480,Stub,ZIMBABWE,14
